file_path,dataset,raw_emotion,emotion,actor_id,gender,intensity,vocal_channel,split
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-05-01-02-02-16.wav,ravdess,05,angry,16,female,normal,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-08-01-01-02-16.wav,ravdess,08,surprise,16,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-08-02-02-02-16.wav,ravdess,08,surprise,16,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-04-02-01-02-16.wav,ravdess,04,sad,16,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-07-02-01-01-16.wav,ravdess,07,disgust,16,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-07-01-02-01-16.wav,ravdess,07,disgust,16,female,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-04-01-02-02-16.wav,ravdess,04,sad,16,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-06-02-02-02-16.wav,ravdess,06,fear,16,female,strong,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-05-02-02-01-16.wav,ravdess,05,angry,16,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-05-01-01-01-16.wav,ravdess,05,angry,16,female,normal,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-06-01-01-02-16.wav,ravdess,06,fear,16,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-08-01-02-01-16.wav,ravdess,08,surprise,16,female,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-08-02-01-01-16.wav,ravdess,08,surprise,16,female,strong,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-01-01-01-02-16.wav,ravdess,01,neutral,16,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-02-01-01-01-16.wav,ravdess,02,calm,16,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-02-02-02-01-16.wav,ravdess,02,calm,16,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-03-01-02-02-16.wav,ravdess,03,happy,16,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_16/03-01-03-02-01-02-16.wav,ravdess,03,happy,16,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-01-01-02-02-11.wav,ravdess,01,neutral,11,male,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-01-02-01-11.wav,ravdess,02,calm,11,male,normal,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-02-01-01-11.wav,ravdess,02,calm,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-01-01-02-11.wav,ravdess,03,happy,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-02-02-02-11.wav,ravdess,03,happy,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-02-02-02-11.wav,ravdess,04,sad,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-02-02-01-11.wav,ravdess,07,disgust,11,male,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-01-01-01-11.wav,ravdess,07,disgust,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-01-01-02-11.wav,ravdess,04,sad,11,male,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-02-01-02-11.wav,ravdess,06,fear,11,male,strong,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-02-01-01-11.wav,ravdess,05,angry,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-01-02-01-11.wav,ravdess,05,angry,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-01-02-02-11.wav,ravdess,06,fear,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-01-01-01-11.wav,ravdess,08,surprise,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-02-02-01-11.wav,ravdess,08,surprise,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-02-01-02-11.wav,ravdess,07,disgust,11,male,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-02-01-01-11.wav,ravdess,04,sad,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-01-02-01-11.wav,ravdess,04,sad,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-01-02-02-11.wav,ravdess,07,disgust,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-02-02-02-11.wav,ravdess,05,angry,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-02-02-01-11.wav,ravdess,06,fear,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-01-01-01-11.wav,ravdess,06,fear,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-01-01-02-11.wav,ravdess,05,angry,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-01-02-02-11.wav,ravdess,08,surprise,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-02-01-02-11.wav,ravdess,08,surprise,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-01-01-02-11.wav,ravdess,02,calm,11,male,normal,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-01-01-01-01-11.wav,ravdess,01,neutral,11,male,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-02-02-02-11.wav,ravdess,02,calm,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-01-02-01-11.wav,ravdess,03,happy,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-02-01-01-11.wav,ravdess,03,happy,11,male,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-01-02-01-11.wav,ravdess,06,fear,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-01-02-02-11.wav,ravdess,05,angry,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-02-01-02-11.wav,ravdess,05,angry,11,male,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-02-01-01-11.wav,ravdess,06,fear,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-01-01-01-11.wav,ravdess,04,sad,11,male,normal,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-01-01-02-11.wav,ravdess,07,disgust,11,male,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-02-02-02-11.wav,ravdess,07,disgust,11,male,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-02-02-01-11.wav,ravdess,04,sad,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-02-02-02-11.wav,ravdess,08,surprise,11,male,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-01-01-02-11.wav,ravdess,08,surprise,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-02-02-01-11.wav,ravdess,03,happy,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-01-01-01-11.wav,ravdess,03,happy,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-02-01-02-11.wav,ravdess,02,calm,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-01-02-02-11.wav,ravdess,02,calm,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-01-01-02-01-11.wav,ravdess,01,neutral,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-02-01-02-11.wav,ravdess,03,happy,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-03-01-02-02-11.wav,ravdess,03,happy,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-02-02-01-11.wav,ravdess,02,calm,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-01-01-01-02-11.wav,ravdess,01,neutral,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-02-01-01-01-11.wav,ravdess,02,calm,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-01-01-01-11.wav,ravdess,05,angry,11,male,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-01-01-02-11.wav,ravdess,06,fear,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-06-02-02-02-11.wav,ravdess,06,fear,11,male,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-05-02-02-01-11.wav,ravdess,05,angry,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-01-02-01-11.wav,ravdess,07,disgust,11,male,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-01-02-02-11.wav,ravdess,04,sad,11,male,normal,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-04-02-01-02-11.wav,ravdess,04,sad,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-07-02-01-01-11.wav,ravdess,07,disgust,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-02-01-01-11.wav,ravdess,08,surprise,11,male,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_11/03-01-08-01-02-01-11.wav,ravdess,08,surprise,11,male,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-03-02-01-02-18.wav,ravdess,03,happy,18,female,strong,speech,test
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-03-01-02-02-18.wav,ravdess,03,happy,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-02-02-02-01-18.wav,ravdess,02,calm,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-02-01-01-01-18.wav,ravdess,02,calm,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-01-01-01-02-18.wav,ravdess,01,neutral,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-06-01-01-02-18.wav,ravdess,06,fear,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-05-01-01-01-18.wav,ravdess,05,angry,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-05-02-02-01-18.wav,ravdess,05,angry,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-06-02-02-02-18.wav,ravdess,06,fear,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-04-01-02-02-18.wav,ravdess,04,sad,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-07-01-02-01-18.wav,ravdess,07,disgust,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-07-02-01-01-18.wav,ravdess,07,disgust,18,female,strong,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-04-02-01-02-18.wav,ravdess,04,sad,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-08-02-01-01-18.wav,ravdess,08,surprise,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-08-01-02-01-18.wav,ravdess,08,surprise,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-05-01-02-02-18.wav,ravdess,05,angry,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-06-01-02-01-18.wav,ravdess,06,fear,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-06-02-01-01-18.wav,ravdess,06,fear,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-05-02-01-02-18.wav,ravdess,05,angry,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-07-01-01-02-18.wav,ravdess,07,disgust,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-04-01-01-01-18.wav,ravdess,04,sad,18,female,normal,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-04-02-02-01-18.wav,ravdess,04,sad,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-07-02-02-02-18.wav,ravdess,07,disgust,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-08-02-02-02-18.wav,ravdess,08,surprise,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-08-01-01-02-18.wav,ravdess,08,surprise,18,female,normal,speech,val
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-03-02-02-01-18.wav,ravdess,03,happy,18,female,strong,speech,train
/Users/harshmac/Desktop/Emotion Recognition/speech-emotion-recognition/backend/dataset/raw/ravdess/Actor_18/03-01-03-01-01-01-18.wav,ravdess,03,happy,18,female,normal,speech,train
